city,weather,windspeed,humidity,temperature,longitude,latitude,timestamp
Johannesburg,Broken Clouds,1.84,81,19.93,28.0436,-26.2023,2026-03-16 16:43:04
Cape Town,Few Clouds,38.88,79,21.05,18.4232,-33.9258,2026-03-16 16:43:04
Durban,Overcast Clouds,3.2,86,25.29,31.0292,-29.8579,2026-03-16 16:43:04
Pretoria,Scattered Clouds,5.22,85,20.57,28.1878,-25.7449,2026-03-16 16:43:04
